epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,3582.47,0.61375,0.7424,1.19227,0.96217,0.92482,0.97617,0.87069,0.52437,0.38686,1.20995,0.006337,0.006337,0.006337
76,3630.44,0.60574,0.70929,1.18012,0.95408,0.93085,0.97649,0.86834,0.51676,0.39135,1.19324,0.0062875,0.0062875,0.0062875
77,3678.56,0.61558,0.73007,1.18832,0.9471,0.9414,0.97816,0.8731,0.52218,0.37849,1.20769,0.006238,0.006238,0.006238
78,3726.58,0.60661,0.70996,1.18832,0.95153,0.92987,0.97845,0.8726,0.5328,0.38198,1.22366,0.0061885,0.0061885,0.0061885
79,3774.46,0.60789,0.71442,1.18647,0.96973,0.90526,0.97666,0.87514,0.51758,0.38461,1.19068,0.006139,0.006139,0.006139
80,3822.34,0.60536,0.70899,1.18441,0.9627,0.91247,0.97733,0.8732,0.52924,0.38535,1.21115,0.0060895,0.0060895,0.0060895
81,3870.07,0.60248,0.69471,1.18189,0.95497,0.93021,0.97573,0.86898,0.53372,0.39122,1.22203,0.00604,0.00604,0.00604
82,3918,0.6073,0.69696,1.18557,0.95355,0.92637,0.9754,0.8725,0.52854,0.38658,1.21504,0.0059905,0.0059905,0.0059905
83,3966.05,0.60163,0.69472,1.1786,0.9652,0.91645,0.97468,0.87004,0.52073,0.38882,1.21152,0.005941,0.005941,0.005941
84,4014.14,0.59925,0.69258,1.17083,0.96289,0.92861,0.97936,0.87783,0.52012,0.37489,1.20572,0.0058915,0.0058915,0.0058915
85,4062.25,0.60146,0.69357,1.17736,0.95624,0.9321,0.97752,0.87264,0.5213,0.37079,1.2098,0.005842,0.005842,0.005842
86,4110.22,0.60393,0.69089,1.18638,0.93914,0.94382,0.97881,0.87332,0.51762,0.36669,1.20946,0.0057925,0.0057925,0.0057925
87,4158.24,0.60434,0.69437,1.18112,0.96571,0.9223,0.97785,0.87365,0.51738,0.37176,1.20788,0.005743,0.005743,0.005743
88,4205.85,0.5997,0.67824,1.17656,0.96308,0.93262,0.97771,0.88112,0.50664,0.36345,1.18463,0.0056935,0.0056935,0.0056935
89,4253.68,0.59384,0.68043,1.17067,0.96431,0.92929,0.97743,0.87499,0.51452,0.36998,1.1986,0.005644,0.005644,0.005644
90,4301.61,0.58527,0.66869,1.16374,0.96177,0.94097,0.97958,0.87749,0.51291,0.35317,1.19023,0.0055945,0.0055945,0.0055945
91,4349.5,0.59397,0.68027,1.16855,0.9501,0.9459,0.97682,0.87466,0.51424,0.35963,1.19683,0.005545,0.005545,0.005545
92,4397.52,0.59411,0.6647,1.16819,0.96071,0.93795,0.97746,0.87806,0.51139,0.35283,1.19475,0.0054955,0.0054955,0.0054955
93,4445.6,0.58954,0.6609,1.16928,0.97014,0.93153,0.98086,0.88045,0.50944,0.36131,1.19908,0.005446,0.005446,0.005446
94,4493.68,0.5878,0.65414,1.16306,0.96929,0.93637,0.98086,0.88157,0.50589,0.35072,1.19235,0.0053965,0.0053965,0.0053965
95,4541.94,0.58454,0.6554,1.16202,0.96948,0.92733,0.98038,0.87766,0.50669,0.35793,1.1916,0.005347,0.005347,0.005347
96,4589.87,0.58095,0.64556,1.16625,0.96347,0.9293,0.98052,0.8779,0.50845,0.36283,1.19659,0.0052975,0.0052975,0.0052975
97,4637.69,0.58658,0.65577,1.16556,0.96341,0.93488,0.98103,0.88028,0.50838,0.35855,1.19973,0.005248,0.005248,0.005248
98,4685.57,0.57976,0.65013,1.1599,0.95458,0.93634,0.98064,0.88232,0.50791,0.34941,1.20229,0.0051985,0.0051985,0.0051985
99,4733.45,0.57925,0.65061,1.16179,0.94618,0.94797,0.98002,0.88091,0.50727,0.34843,1.20205,0.005149,0.005149,0.005149
100,4781.15,0.57622,0.63187,1.1569,0.96213,0.93264,0.97992,0.88297,0.50495,0.33918,1.20087,0.0050995,0.0050995,0.0050995
101,4829,0.57325,0.63072,1.15876,0.95604,0.94006,0.97835,0.88092,0.50356,0.3506,1.19643,0.00505,0.00505,0.00505
102,4876.85,0.57299,0.62622,1.15793,0.95231,0.94601,0.97896,0.87887,0.50786,0.34711,1.2033,0.0050005,0.0050005,0.0050005
103,4924.9,0.5747,0.63749,1.15787,0.95759,0.93236,0.9805,0.88075,0.51019,0.344,1.20706,0.004951,0.004951,0.004951
104,4972.94,0.58152,0.63463,1.16537,0.96259,0.93549,0.98202,0.88192,0.50841,0.34455,1.20068,0.0049015,0.0049015,0.0049015
105,5020.79,0.5677,0.61704,1.15339,0.95977,0.93842,0.98209,0.88409,0.50828,0.34138,1.20053,0.004852,0.004852,0.004852
106,5068.8,0.57303,0.61214,1.15588,0.96793,0.93545,0.98093,0.88204,0.50625,0.34114,1.1967,0.0048025,0.0048025,0.0048025
107,5116.89,0.56699,0.61399,1.15204,0.96741,0.93337,0.98113,0.87929,0.50671,0.34019,1.20037,0.004753,0.004753,0.004753
108,5164.92,0.56604,0.60181,1.14403,0.96249,0.93565,0.97966,0.87909,0.51013,0.34005,1.20683,0.0047035,0.0047035,0.0047035
109,5213.25,0.56406,0.60653,1.14801,0.96154,0.94151,0.98005,0.87804,0.50707,0.33411,1.20511,0.004654,0.004654,0.004654
110,5261.43,0.56674,0.60487,1.1538,0.96429,0.94141,0.98048,0.87801,0.50814,0.33147,1.20837,0.0046045,0.0046045,0.0046045
111,5309.41,0.56713,0.62434,1.15158,0.96231,0.94308,0.97984,0.87638,0.51076,0.33607,1.21404,0.004555,0.004555,0.004555
112,5357.52,0.56777,0.61491,1.15105,0.95958,0.94212,0.97942,0.87719,0.50679,0.33922,1.20666,0.0045055,0.0045055,0.0045055
113,5405.55,0.56447,0.60077,1.1534,0.96188,0.93281,0.97905,0.87771,0.50985,0.3409,1.21022,0.004456,0.004456,0.004456
114,5453.74,0.55782,0.60523,1.15305,0.96146,0.93801,0.97921,0.87878,0.50583,0.33881,1.20586,0.0044065,0.0044065,0.0044065
115,5501.88,0.55367,0.59009,1.14244,0.96654,0.93753,0.97992,0.87699,0.51212,0.33655,1.21788,0.004357,0.004357,0.004357
116,5550.09,0.56488,0.59992,1.15374,0.97082,0.93943,0.98064,0.87788,0.50934,0.3358,1.21247,0.0043075,0.0043075,0.0043075
117,5597.82,0.55895,0.60247,1.14931,0.9738,0.9381,0.98034,0.8791,0.51085,0.33207,1.21464,0.004258,0.004258,0.004258
118,5645.82,0.56204,0.59541,1.14851,0.97097,0.93774,0.97948,0.88005,0.50783,0.33188,1.20816,0.0042085,0.0042085,0.0042085
119,5693.89,0.54939,0.57234,1.13135,0.96732,0.94387,0.97941,0.87947,0.50557,0.33314,1.20366,0.004159,0.004159,0.004159
120,5742,0.55216,0.58483,1.14348,0.96173,0.9466,0.97931,0.87726,0.50752,0.33283,1.20893,0.0041095,0.0041095,0.0041095
121,5789.92,0.54872,0.57415,1.13657,0.96435,0.94281,0.9793,0.8797,0.50626,0.33246,1.20711,0.00406,0.00406,0.00406
122,5837.98,0.54556,0.58168,1.13635,0.96576,0.94197,0.97948,0.87993,0.5047,0.33192,1.20423,0.0040105,0.0040105,0.0040105
123,5885.99,0.55479,0.57957,1.13969,0.96491,0.94307,0.9795,0.88241,0.50458,0.3328,1.20414,0.003961,0.003961,0.003961
124,5934.2,0.55062,0.58189,1.13513,0.96783,0.9419,0.98095,0.8836,0.50576,0.33354,1.20703,0.0039115,0.0039115,0.0039115
125,5982.38,0.54699,0.58121,1.1364,0.97012,0.94277,0.98056,0.88251,0.50433,0.32903,1.20768,0.003862,0.003862,0.003862
126,6030.66,0.54157,0.56061,1.1308,0.9623,0.95036,0.98083,0.88264,0.50149,0.32643,1.20454,0.0038125,0.0038125,0.0038125
127,6078.52,0.5446,0.5675,1.13673,0.96247,0.95274,0.98138,0.88246,0.5033,0.32467,1.20746,0.003763,0.003763,0.003763
128,6126.35,0.53981,0.55127,1.1285,0.95638,0.95373,0.98095,0.88311,0.50335,0.3267,1.20807,0.0037135,0.0037135,0.0037135
129,6174.17,0.53862,0.55982,1.12851,0.95786,0.94919,0.98052,0.88151,0.50087,0.3286,1.20371,0.003664,0.003664,0.003664
130,6222.09,0.53561,0.54981,1.12051,0.96063,0.95013,0.98038,0.88314,0.49919,0.32906,1.20301,0.0036145,0.0036145,0.0036145
131,6270.13,0.5392,0.55639,1.12814,0.96128,0.95412,0.97997,0.88181,0.50157,0.32711,1.20642,0.003565,0.003565,0.003565
132,6318.04,0.53402,0.55033,1.12624,0.96127,0.9534,0.98008,0.88227,0.49996,0.32732,1.20328,0.0035155,0.0035155,0.0035155
133,6366.09,0.53956,0.55273,1.13387,0.9707,0.94255,0.97924,0.88023,0.50017,0.32658,1.20348,0.003466,0.003466,0.003466
134,6414.26,0.53057,0.53881,1.12107,0.97202,0.94065,0.97918,0.88024,0.49907,0.32917,1.20233,0.0034165,0.0034165,0.0034165
135,6462.31,0.53783,0.5439,1.133,0.9628,0.95151,0.97814,0.87975,0.5001,0.33051,1.20332,0.003367,0.003367,0.003367
136,6510.27,0.53051,0.54896,1.12468,0.95886,0.95525,0.97865,0.88309,0.49939,0.33016,1.20251,0.0033175,0.0033175,0.0033175
137,6558.27,0.53331,0.54924,1.12621,0.96188,0.95241,0.9791,0.88547,0.49791,0.33367,1.20046,0.003268,0.003268,0.003268
138,6606.45,0.52922,0.53451,1.11769,0.96261,0.95345,0.97931,0.88445,0.49679,0.3297,1.19867,0.0032185,0.0032185,0.0032185
139,6654.3,0.53549,0.54496,1.12438,0.96357,0.95295,0.97922,0.88495,0.49507,0.32877,1.19551,0.003169,0.003169,0.003169
140,6702.02,0.53227,0.5375,1.1208,0.96439,0.95203,0.9807,0.88541,0.49612,0.3288,1.19725,0.0031195,0.0031195,0.0031195
